Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:40,COHANCE,445.4,49.32,52.49,-3.17,2026-08-25 23:00,38.56,43.42,-4.86,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,IGNORE,❌ IGNORE,Weekly RSI 49.32 <= 50
2026-08-25 23:44:56,CYIENTDLM,769.35,87.48,85.44,2.04,2026-08-25 23:00,73.4,60.04,13.36,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 87.48 > 50; Hourly RSI 73.40; 15m confirmation checked only while monitored
2026-08-25 23:45:41,DATAPATTNS,4542.3,59.13,65.47,-6.34,2026-08-25 23:00,32.11,47.66,-15.55,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 59.13 > 50, but Hourly RSI has not touched 30 (current 32.11)"
2026-08-25 23:44:57,ENGINERSIN,250.38,59.41,57.41,2.0,2026-08-25 23:00,61.19,78.72,-17.54,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 59.41 > 50; Hourly RSI 61.19; 15m confirmation checked only while monitored
2026-08-25 23:44:58,ETERNAL,331.0,68.84,68.16,0.68,2026-08-25 23:00,68.1,56.79,11.3,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 68.84 > 50; Hourly RSI 68.10; 15m confirmation checked only while monitored
2026-08-25 23:44:59,FACT,876.1,53.78,39.84,13.94,2026-08-25 23:00,81.45,44.93,36.51,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 53.78 > 50; Hourly RSI 81.45; 15m confirmation checked only while monitored
2026-08-25 23:45:42,FINCABLES,1259.85,66.45,66.51,-0.06,2026-08-25 23:00,41.21,52.36,-11.15,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 66.45 > 50, but Hourly RSI has not touched 30 (current 41.21)"
2026-08-25 23:45:42,GLAND,2824.6,71.42,71.31,0.11,2026-08-25 23:00,48.24,45.12,3.12,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.42 > 50, but Hourly RSI has not touched 30 (current 48.24)"
2026-08-25 23:45:01,GODREJAGRO,610.1,56.59,48.64,7.95,2026-08-25 23:00,74.62,42.64,31.99,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 56.59 > 50; Hourly RSI 74.62; 15m confirmation checked only while monitored
2026-08-25 23:45:43,GRANULES,845.95,63.9,66.39,-2.48,2026-08-25 23:00,38.45,52.35,-13.9,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.90 > 50, but Hourly RSI has not touched 30 (current 38.45)"
