Scan Time,Symbol,Tag,Universe Sources,Universe Periods,Universe Sectors,Universe Ranks,Favorite Reasons,Favorite Notes,Chartink URL,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:46:00,ZENTEC,Sector Top 5,Sector Top 5,3M,niftyindiadefence,5.0,,,https://chartink.com/stocks/ZENTEC.html,NSE_EQ|INE251B01027,1877.7,58.74,61.36,-2.62,2026-08-25 23:00,38.33,46.35,-8.02,NO,NO,1902.5,1923.0,NO,NO,1862.4,1881.5,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.74 > 50, but Hourly RSI has not touched 30 (current 38.33)"
2026-08-25 23:45:43,GRANULES,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftymidsmallhealthcare | nifty500healthcare,4.0 | 45.0,,,https://chartink.com/stocks/GRANULES.html,NSE_EQ|INE101D01020,845.95,63.9,66.39,-2.48,2026-08-25 23:00,38.45,52.35,-13.9,NO,NO,857.0,860.5,NO,NO,844.4,849.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.90 > 50, but Hourly RSI has not touched 30 (current 38.45)"
2026-08-25 23:45:44,INOXINDIA,YTD Top 50,YTD Top 50,YTD,nifty500,22.0,,,https://chartink.com/stocks/INOXINDIA.html,NSE_EQ|INE616N01034,1900.0,68.22,71.46,-3.23,2026-08-25 23:00,38.63,47.36,-8.73,NO,NO,1926.6,1947.8,NO,NO,1894.9,1915.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 68.22 > 50, but Hourly RSI has not touched 30 (current 38.63)"
2026-08-25 23:45:58,UNIMECH,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,3M | YTD,niftyindiadefence,3.0 | 26.0,,,https://chartink.com/stocks/UNIMECH.html,NSE_EQ|INE0U3I01011,1473.5,71.36,73.07,-1.71,2026-08-25 23:00,39.08,47.11,-8.04,NO,NO,1496.9,1515.8,NO,NO,1479.0,1483.2,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.36 > 50, but Hourly RSI has not touched 30 (current 39.08)"
2026-08-25 23:45:50,NEULANDLAB,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftymidsmallhealthcare,2.0 | 33.0,,,https://chartink.com/stocks/NEULANDLAB.html,NSE_EQ|INE794A01010,22989.0,75.0,77.34,-2.34,2026-08-25 23:00,40.16,35.14,5.02,YES,NO,22901.0,22942.0,NO,NO,22989.0,23000.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 75.00 > 50, but Hourly RSI has not touched 30 (current 40.16)"
2026-08-25 23:45:36,ATHERENERG,Favorite | YTD Top 50,Favorite | YTD Top 50,YTD,nifty500,8.0,Other,,https://chartink.com/stocks/ATHERENERG.html,NSE_EQ|INE0LEZ01016,1439.4,73.81,75.96,-2.15,2026-08-25 23:00,40.38,47.69,-7.31,NO,NO,1454.8,1458.7,NO,NO,1442.9,1445.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.81 > 50, but Hourly RSI has not touched 30 (current 40.38)"
2026-08-25 23:45:42,FINCABLES,YTD Top 50,YTD Top 50,YTD,nifty500,19.0,,,https://chartink.com/stocks/FINCABLES.html,NSE_EQ|INE235A01022,1259.85,66.45,66.51,-0.06,2026-08-25 23:00,41.21,52.36,-11.15,NO,NO,1290.0,1293.05,NO,YES,1263.6,1262.4,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 66.45 > 50, but Hourly RSI has not touched 30 (current 41.21)"
2026-08-25 23:45:56,SONACOMS,YTD Top 50,YTD Top 50,YTD,niftyevnewageautomotive,16.0,,,https://chartink.com/stocks/SONACOMS.html,NSE_EQ|INE073K01018,808.8,76.01,78.16,-2.15,2026-08-25 23:00,41.41,46.24,-4.82,NO,YES,813.5,812.8,NO,YES,808.8,807.75,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 76.01 > 50, but Hourly RSI has not touched 30 (current 41.41)"
2026-08-25 23:45:35,AKUMS,YTD Top 50,YTD Top 50,YTD,nifty500,24.0,,,https://chartink.com/stocks/AKUMS.html,NSE_EQ|INE09XN01023,744.85,71.64,72.76,-1.11,2026-08-25 23:00,41.6,63.24,-21.64,NO,YES,773.0,772.75,NO,NO,744.85,747.4,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.64 > 50, but Hourly RSI has not touched 30 (current 41.60)"
2026-08-25 23:45:59,VIJAYA,YTD Top 50,YTD Top 50,YTD,nifty500healthcare,48.0,,,https://chartink.com/stocks/VIJAYA.html,NSE_EQ|INE043W01024,1482.3,68.48,71.02,-2.54,2026-08-25 23:00,44.44,42.48,1.97,YES,NO,1480.0,1489.6,NO,NO,1482.3,1491.6,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 68.48 > 50, but Hourly RSI has not touched 30 (current 44.44)"
2026-08-25 23:45:36,ALIVUS,YTD Top 50,YTD Top 50,YTD,nifty500healthcare,36.0,,,https://chartink.com/stocks/ALIVUS.html,NSE_EQ|INE03Q201024,1354.3,73.5,73.32,0.18,2026-08-25 23:00,44.82,51.24,-6.43,NO,NO,1366.0,1371.9,NO,YES,1354.3,1350.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.50 > 50, but Hourly RSI has not touched 30 (current 44.82)"
2026-08-25 23:45:34,AFFLE,Sector Top 5,Sector Top 5,1M,niftyindiadigital,3.0,,,https://chartink.com/stocks/AFFLE.html,NSE_EQ|INE00WC01027,1710.8,62.71,63.48,-0.77,2026-08-25 23:00,47.41,64.54,-17.13,NO,YES,1746.1,1741.9,NO,NO,1710.5,1712.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 62.71 > 50, but Hourly RSI has not touched 30 (current 47.41)"
2026-08-25 23:45:39,CHENNPETRO,YTD Top 50,YTD Top 50,YTD,nifty500,21.0,,,https://chartink.com/stocks/CHENNPETRO.html,NSE_EQ|INE178A01016,1401.2,73.58,73.24,0.34,2026-08-25 23:00,47.47,51.82,-4.35,NO,NO,1413.5,1420.0,NO,NO,1401.9,1404.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.58 > 50, but Hourly RSI has not touched 30 (current 47.47)"
2026-08-25 23:45:48,NAUKRI,Sector Top 5,Sector Top 5,3M,Nifty India Internet Index,4.0,,,https://chartink.com/stocks/NAUKRI.html,NSE_EQ|INE663F01032,1350.0,70.62,70.63,-0.01,2026-08-25 23:00,47.76,46.94,0.82,YES,YES,1349.0,1345.0,NO,YES,1350.0,1348.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 70.62 > 50, but Hourly RSI has not touched 30 (current 47.76)"
2026-08-25 23:45:47,MTARTECH,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftyindiadefence,4.0 | 3.0,,,https://chartink.com/stocks/MTARTECH.html,NSE_EQ|INE864I01014,6930.0,58.99,60.06,-1.07,2026-08-25 23:00,47.93,33.41,14.52,YES,NO,6800.0,6865.0,NO,NO,6930.0,6949.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.99 > 50, but Hourly RSI has not touched 30 (current 47.93)"
2026-08-25 23:45:38,BHARATFORG,YTD Top 50,YTD Top 50,YTD,niftyindiadefence,50.0,,,https://chartink.com/stocks/BHARATFORG.html,NSE_EQ|INE465A01025,2052.5,56.6,57.33,-0.74,2026-08-25 23:00,48.09,40.12,7.97,YES,NO,2041.0,2048.1,NO,YES,2052.5,2044.4,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 56.60 > 50, but Hourly RSI has not touched 30 (current 48.09)"
2026-08-25 23:45:42,GLAND,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftymidsmallhealthcare | niftypharma,3.0 | 25.0,,,https://chartink.com/stocks/GLAND.html,NSE_EQ|INE068V01023,2824.6,71.42,71.31,0.11,2026-08-25 23:00,48.24,45.12,3.12,YES,NO,2811.9,2816.7,NO,NO,2830.4,2835.9,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.42 > 50, but Hourly RSI has not touched 30 (current 48.24)"
2026-08-25 23:45:56,SOLARINDS,YTD Top 50,YTD Top 50,YTD,nifty200,27.0,,,https://chartink.com/stocks/SOLARINDS.html,NSE_EQ|INE343H01029,19800.0,69.65,70.65,-1.0,2026-08-25 23:00,48.79,55.19,-6.41,NO,NO,19925.0,19945.0,NO,NO,19800.0,19800.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 69.65 > 50, but Hourly RSI has not touched 30 (current 48.79)"
