Sector,Company Name,Industry,Symbol,Series,ISIN Code,Status
nifty500healthcare,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500healthcare,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyauto,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftycpse,NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NO_DATA
niftyenergy,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,MAPPING_NOT_FOUND
niftyenergy,NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NO_DATA
niftyenergy,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NO_DATA
niftyenergy,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyenergy,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyevnewageautomotive,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyevnewageautomotive,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
