Sector,Company Name,Industry,Symbol,Series,ISIN Code,NSE Symbol,Last Fetch,Live NIFTY LTP,Daily,Weekly,1M,3M,6M,YTD,Nifty Index 3M % Change,Stock Relative Strength vs Nifty,RS History,10D RS Change,Highest RS,Lowest RS,Average RS,RS Momentum Score,Consistency,RS Data Days,Volume History,Today Volume,10D Average Volume,Volume Ratio,Volume Change %,Upstox Instrument Key,Data Date,LTP,Return Calculation Price,Previous Close,LTP Change %,LTP Volume,LTP Last Traded Qty,LTP Fetch Time,Status
nifty500,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,,2026-09-26T17:05:51+05:30,,0.557238,-0.204376,8.509804,14.087411,43.466989,,-3.364827,17.452238,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",4.834342,17.452238,9.171317,13.813383,4.043172,5.0,10.0,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",3419454.0,3740166.444444,0.914252,-8.574817,NSE_EQ|INE976G01028,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyhousing,RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028,,2026-09-26T17:05:51+05:30,,0.557238,-0.204376,8.509804,14.087411,43.466989,,-3.364827,17.452238,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",4.834342,17.452238,9.171317,13.813383,4.043172,5.0,10.0,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",3419454.0,3740166.444444,0.914252,-8.574817,NSE_EQ|INE976G01028,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftymidsmallfinancailservice,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,,2026-09-26T17:05:51+05:30,,0.557238,-0.204376,8.509804,14.087411,43.466989,,-3.364827,17.452238,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",4.834342,17.452238,9.171317,13.813383,4.043172,5.0,10.0,"[{'date': '2026-09-11', 'rs': 12.617896, 'volume': 3209425}, {'date': '2026-09-15', 'rs': 12.798529, 'volume': 1249135}, {'date': '2026-09-16', 'rs': 13.029999, 'volume': 2607366}, {'date': '2026-09-17', 'rs': 13.164766, 'volume': 2254458}, {'date': '2026-09-18', 'rs': 12.555997, 'volume': 3792806}, {'date': '2026-09-21', 'rs': 9.171317, 'volume': 2214016}, {'date': '2026-09-22', 'rs': 16.071414, 'volume': 7366610}, {'date': '2026-09-23', 'rs': 15.905846, 'volume': 3651779}, {'date': '2026-09-24', 'rs': 15.36583, 'volume': 7315903}, {'date': '2026-09-25', 'rs': 17.452238, 'volume': 3419454}]",3419454.0,3740166.444444,0.914252,-8.574817,NSE_EQ|INE976G01028,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,,2026-09-26T17:05:51+05:30,,-2.999096,1.990798,-0.749254,14.081318,43.661424,,-3.364827,17.446145,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2.398173,25.17488,13.613683,17.908298,-0.513503,5.0,10.0,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2386852.0,1983665.111111,1.203254,20.325351,NSE_EQ|INE745G01043,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyfinancialservicesexbank,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,,2026-09-26T17:05:51+05:30,,-2.999096,1.990798,-0.749254,14.081318,43.661424,,-3.364827,17.446145,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2.398173,25.17488,13.613683,17.908298,-0.513503,5.0,10.0,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2386852.0,1983665.111111,1.203254,20.325351,NSE_EQ|INE745G01043,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftymidsmallfinancailservice,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,,2026-09-26T17:05:51+05:30,,-2.999096,1.990798,-0.749254,14.081318,43.661424,,-3.364827,17.446145,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2.398173,25.17488,13.613683,17.908298,-0.513503,5.0,10.0,"[{'date': '2026-09-11', 'rs': 15.047972, 'volume': 1686562}, {'date': '2026-09-15', 'rs': 13.613683, 'volume': 1746940}, {'date': '2026-09-16', 'rs': 15.990032, 'volume': 1971522}, {'date': '2026-09-17', 'rs': 19.615489, 'volume': 1530935}, {'date': '2026-09-18', 'rs': 19.047177, 'volume': 2197423}, {'date': '2026-09-21', 'rs': 14.653183, 'volume': 1267161}, {'date': '2026-09-22', 'rs': 17.323644, 'volume': 1069125}, {'date': '2026-09-23', 'rs': 21.170773, 'volume': 2249890}, {'date': '2026-09-24', 'rs': 25.17488, 'volume': 4133428}, {'date': '2026-09-25', 'rs': 17.446145, 'volume': 2386852}]",2386852.0,1983665.111111,1.203254,20.325351,NSE_EQ|INE745G01043,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,,2026-09-26T17:05:51+05:30,,-1.120321,-1.309091,4.334455,14.027625,39.573155,,-3.364827,17.392452,"[{'date': '2026-09-11', 'rs': 12.73206, 'volume': 224493}, {'date': '2026-09-15', 'rs': 12.477756, 'volume': 231835}, {'date': '2026-09-16', 'rs': 13.27927, 'volume': 155947}, {'date': '2026-09-17', 'rs': 14.163385, 'volume': 439035}, {'date': '2026-09-18', 'rs': 16.143401, 'volume': 1196160}, {'date': '2026-09-21', 'rs': 17.084645, 'volume': 2877181}, {'date': '2026-09-22', 'rs': 15.638789, 'volume': 383963}, {'date': '2026-09-23', 'rs': 18.878881, 'volume': 418859}, {'date': '2026-09-24', 'rs': 20.215214, 'volume': 1377316}, {'date': '2026-09-25', 'rs': 17.392452, 'volume': 591086}]",4.660392,20.215214,12.477756,15.800585,1.768741,6.0,10.0,"[{'date': '2026-09-11', 'rs': 12.73206, 'volume': 224493}, {'date': '2026-09-15', 'rs': 12.477756, 'volume': 231835}, {'date': '2026-09-16', 'rs': 13.27927, 'volume': 155947}, {'date': '2026-09-17', 'rs': 14.163385, 'volume': 439035}, {'date': '2026-09-18', 'rs': 16.143401, 'volume': 1196160}, {'date': '2026-09-21', 'rs': 17.084645, 'volume': 2877181}, {'date': '2026-09-22', 'rs': 15.638789, 'volume': 383963}, {'date': '2026-09-23', 'rs': 18.878881, 'volume': 418859}, {'date': '2026-09-24', 'rs': 20.215214, 'volume': 1377316}, {'date': '2026-09-25', 'rs': 17.392452, 'volume': 591086}]",591086.0,811643.222222,0.728258,-27.174159,NSE_EQ|INE810G01011,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,,2026-09-26T17:05:51+05:30,,2.428732,1.035982,-1.202967,13.911774,38.704762,,-3.364827,17.276601,"[{'date': '2026-09-11', 'rs': 20.265229, 'volume': 361329}, {'date': '2026-09-15', 'rs': 17.725897, 'volume': 189584}, {'date': '2026-09-16', 'rs': 18.610795, 'volume': 232426}, {'date': '2026-09-17', 'rs': 19.534853, 'volume': 76806}, {'date': '2026-09-18', 'rs': 12.155195, 'volume': 124085}, {'date': '2026-09-21', 'rs': 11.345008, 'volume': 64441}, {'date': '2026-09-22', 'rs': 12.77587, 'volume': 518559}, {'date': '2026-09-23', 'rs': 13.948833, 'volume': 114049}, {'date': '2026-09-24', 'rs': 14.315508, 'volume': 137918}, {'date': '2026-09-25', 'rs': 17.276601, 'volume': 144533}]",-2.988628,20.265229,11.345008,15.795379,1.645802,6.0,10.0,"[{'date': '2026-09-11', 'rs': 20.265229, 'volume': 361329}, {'date': '2026-09-15', 'rs': 17.725897, 'volume': 189584}, {'date': '2026-09-16', 'rs': 18.610795, 'volume': 232426}, {'date': '2026-09-17', 'rs': 19.534853, 'volume': 76806}, {'date': '2026-09-18', 'rs': 12.155195, 'volume': 124085}, {'date': '2026-09-21', 'rs': 11.345008, 'volume': 64441}, {'date': '2026-09-22', 'rs': 12.77587, 'volume': 518559}, {'date': '2026-09-23', 'rs': 13.948833, 'volume': 114049}, {'date': '2026-09-24', 'rs': 14.315508, 'volume': 137918}, {'date': '2026-09-25', 'rs': 17.276601, 'volume': 144533}]",144533.0,202133.0,0.715039,-28.496089,NSE_EQ|INE0AQ201015,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,,2026-09-26T17:05:51+05:30,,0.684262,2.9604,-9.127927,13.426514,35.334546,,-3.364827,16.791342,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",2.603216,16.791342,6.315972,11.321543,6.077554,5.0,10.0,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",276046.0,350895.111111,0.786691,-21.330907,NSE_EQ|INE935N01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyconsumerdurables,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,,2026-09-26T17:05:51+05:30,,0.684262,2.9604,-9.127927,13.426514,35.334546,,-3.364827,16.791342,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",2.603216,16.791342,6.315972,11.321543,6.077554,5.0,10.0,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",276046.0,350895.111111,0.786691,-21.330907,NSE_EQ|INE935N01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftylargemidcap250,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,,2026-09-26T17:05:51+05:30,,0.684262,2.9604,-9.127927,13.426514,35.334546,,-3.364827,16.791342,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",2.603216,16.791342,6.315972,11.321543,6.077554,5.0,10.0,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",276046.0,350895.111111,0.786691,-21.330907,NSE_EQ|INE935N01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyhousing,Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020,,2026-09-26T17:05:51+05:30,,0.684262,2.9604,-9.127927,13.426514,35.334546,,-3.364827,16.791342,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",2.603216,16.791342,6.315972,11.321543,6.077554,5.0,10.0,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",276046.0,350895.111111,0.786691,-21.330907,NSE_EQ|INE935N01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty200,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,,2026-09-26T17:05:51+05:30,,0.684262,2.9604,-9.127927,13.426514,35.334546,,-3.364827,16.791342,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",2.603216,16.791342,6.315972,11.321543,6.077554,5.0,10.0,"[{'date': '2026-09-11', 'rs': 14.188126, 'volume': 549928}, {'date': '2026-09-15', 'rs': 11.352676, 'volume': 431603}, {'date': '2026-09-16', 'rs': 6.315972, 'volume': 540673}, {'date': '2026-09-17', 'rs': 8.63975, 'volume': 267254}, {'date': '2026-09-18', 'rs': 6.675099, 'volume': 371296}, {'date': '2026-09-21', 'rs': 11.076762, 'volume': 219611}, {'date': '2026-09-22', 'rs': 11.732858, 'volume': 400815}, {'date': '2026-09-23', 'rs': 11.610326, 'volume': 191704}, {'date': '2026-09-24', 'rs': 14.832522, 'volume': 185172}, {'date': '2026-09-25', 'rs': 16.791342, 'volume': 276046}]",276046.0,350895.111111,0.786691,-21.330907,NSE_EQ|INE935N01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,,2026-09-26T17:05:51+05:30,,-0.688889,-2.124398,1.568182,13.397615,22.943604,,-3.364827,16.762442,"[{'date': '2026-09-11', 'rs': 14.910799, 'volume': 24429679}, {'date': '2026-09-15', 'rs': 17.743046, 'volume': 23912914}, {'date': '2026-09-16', 'rs': 17.377274, 'volume': 11752528}, {'date': '2026-09-17', 'rs': 15.588645, 'volume': 10163066}, {'date': '2026-09-18', 'rs': 18.40061, 'volume': 17450697}, {'date': '2026-09-21', 'rs': 17.645826, 'volume': 22615132}, {'date': '2026-09-22', 'rs': 16.074649, 'volume': 7493649}, {'date': '2026-09-23', 'rs': 17.195845, 'volume': 5919241}, {'date': '2026-09-24', 'rs': 15.596365, 'volume': 10874146}, {'date': '2026-09-25', 'rs': 16.762442, 'volume': 9623863}]",1.851643,18.40061,14.910799,16.72955,0.036547,4.0,10.0,"[{'date': '2026-09-11', 'rs': 14.910799, 'volume': 24429679}, {'date': '2026-09-15', 'rs': 17.743046, 'volume': 23912914}, {'date': '2026-09-16', 'rs': 17.377274, 'volume': 11752528}, {'date': '2026-09-17', 'rs': 15.588645, 'volume': 10163066}, {'date': '2026-09-18', 'rs': 18.40061, 'volume': 17450697}, {'date': '2026-09-21', 'rs': 17.645826, 'volume': 22615132}, {'date': '2026-09-22', 'rs': 16.074649, 'volume': 7493649}, {'date': '2026-09-23', 'rs': 17.195845, 'volume': 5919241}, {'date': '2026-09-24', 'rs': 15.596365, 'volume': 10874146}, {'date': '2026-09-25', 'rs': 16.762442, 'volume': 9623863}]",9623863.0,14956783.555556,0.643445,-35.655531,NSE_EQ|INE0W2G01015,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
Nifty India Internet Index,Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011,,2026-09-26T17:05:51+05:30,,-0.073216,0.458363,-4.442747,12.939141,77.134092,,-3.364827,16.303968,"[{'date': '2026-09-11', 'rs': 34.723702, 'volume': 273739}, {'date': '2026-09-15', 'rs': 30.195758, 'volume': 337654}, {'date': '2026-09-16', 'rs': 13.944953, 'volume': 416850}, {'date': '2026-09-17', 'rs': 17.36888, 'volume': 196278}, {'date': '2026-09-18', 'rs': 19.594192, 'volume': 650048}, {'date': '2026-09-21', 'rs': 16.34037, 'volume': 162985}, {'date': '2026-09-22', 'rs': 12.359549, 'volume': 196801}, {'date': '2026-09-23', 'rs': 17.68283, 'volume': 183741}, {'date': '2026-09-24', 'rs': 15.647643, 'volume': 374113}, {'date': '2026-09-25', 'rs': 16.303968, 'volume': 322295}]",-18.419734,34.723702,12.359549,19.416184,-3.458018,4.0,10.0,"[{'date': '2026-09-11', 'rs': 34.723702, 'volume': 273739}, {'date': '2026-09-15', 'rs': 30.195758, 'volume': 337654}, {'date': '2026-09-16', 'rs': 13.944953, 'volume': 416850}, {'date': '2026-09-17', 'rs': 17.36888, 'volume': 196278}, {'date': '2026-09-18', 'rs': 19.594192, 'volume': 650048}, {'date': '2026-09-21', 'rs': 16.34037, 'volume': 162985}, {'date': '2026-09-22', 'rs': 12.359549, 'volume': 196801}, {'date': '2026-09-23', 'rs': 17.68283, 'volume': 183741}, {'date': '2026-09-24', 'rs': 15.647643, 'volume': 374113}, {'date': '2026-09-25', 'rs': 16.303968, 'volume': 322295}]",322295.0,310245.444444,1.038839,3.883878,NSE_EQ|INE290S01011,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
